name,benchmark,num_tasks,success_rate,verifier_pass_rate,avg_total_tokens,avg_llm_calls,avg_latency_ms,avg_cost_rub,cost_per_solved_rub
manual_graph,_overall,120,1.00,1.00,5909,21.64,19429,4.47,4.47
fully_connected,_overall,120,1.00,1.00,8263,22.19,20779,6.52,6.52
random_sparse,_overall,120,0.392,0.849,4654,18.39,12372,2.68,6.84
degree_preserving,_overall,120,1.00,1.00,1014,3.43,195,0.603,0.603
learned_router_no_prior,_overall,120,0.000,0.525,12.20,0.033,130,0.005,∞
flybrain_prior_untrained,_overall,120,0.000,0.709,0.000,0.000,0.000,0.000,∞
flybrain_sim_pretrain,_overall,120,0.758,0.964,6789,30.29,8001,4.22,5.57
flybrain_imitation,_overall,120,0.733,0.960,5410,23.39,6251,4.10,5.60
flybrain_rl,_overall,120,0.558,0.934,7336,32.00,5467,5.77,10.33
