name,benchmark,num_tasks,success_rate,verifier_pass_rate,avg_total_tokens,avg_llm_calls,avg_latency_ms,avg_cost_rub,cost_per_solved_rub
manual_graph,_overall,65,0.892,0.984,1962,10.89,8979,1.73,1.94
fully_connected,_overall,65,0.954,0.993,2725,10.63,8286,2.27,2.38
random_sparse,_overall,65,0.215,0.818,1249,8.05,4890,0.724,3.36
degree_preserving,_overall,65,0.954,0.993,1003,4.60,1704,0.646,0.677
learned_router_no_prior,_overall,65,0.046,0.422,22.23,0.231,118,0.009,0.193
flybrain_prior_untrained,_overall,65,0.000,0.720,0.000,0.000,0.000,0.000,∞
flybrain_sim_pretrain,_overall,65,0.000,0.720,0.000,0.000,0.000,0.000,∞
flybrain_imitation,_overall,65,0.000,0.720,0.000,0.000,0.000,0.000,∞
flybrain_rl,_overall,65,0.000,0.720,0.000,0.000,0.000,0.000,∞
