name,benchmark,num_tasks,success_rate,verifier_pass_rate,avg_total_tokens,avg_llm_calls,avg_latency_ms,avg_cost_rub,cost_per_solved_rub
manual_graph,_overall,120,0.950,0.993,2796,11.09,10076,2.46,2.59
fully_connected,_overall,120,0.983,0.998,3614,10.78,9067,3.00,3.06
random_sparse,_overall,120,0.342,0.823,1731,7.47,5357,1.07,3.12
degree_preserving,_overall,120,0.992,0.999,1643,5.25,2624,1.08,1.09
learned_router_no_prior,_overall,120,0.008,0.431,13.24,0.042,129,0.005,0.636
flybrain_prior_untrained,_overall,120,0.000,0.705,0.000,0.000,0.008,0.000,∞
flybrain_sim_pretrain,_overall,120,0.700,0.955,2962,11.83,6263,1.75,2.50
flybrain_imitation,_overall,120,0.742,0.961,2261,9.38,2980,1.52,2.05
flybrain_rl,_overall,120,0.375,0.893,2858,12.00,1694,3.00,8.01
