name,benchmark,num_tasks,success_rate,verifier_pass_rate,avg_total_tokens,avg_llm_calls,avg_latency_ms,avg_cost_rub,cost_per_solved_rub
manual_graph,_overall,40,0.975,0.996,1401,3.33,35807,0.000,0.000
flybrain_sim_pretrain_watchdog_v2,_overall,40,0.925,0.989,3548,8.93,43898,0.000,0.000
er_prior_watchdog_v2,_overall,40,0.750,0.963,3173,8.47,20022,0.000,0.000
shuffled_fly_watchdog_v2,_overall,40,0.900,0.985,3368,8.47,19374,0.000,0.000
reverse_fly_watchdog_v2,_overall,40,0.900,0.985,3441,9.05,18568,0.000,0.000
