name,benchmark,num_tasks,success_rate,verifier_pass_rate,avg_total_tokens,avg_llm_calls,avg_latency_ms,avg_cost_rub,cost_per_solved_rub
manual_graph,_overall,65,0.954,0.993,1847,9.69,9002,1.52,1.59
fully_connected,_overall,65,0.938,0.991,2566,9.29,9045,2.04,2.17
random_sparse,_overall,65,0.246,0.808,1142,6.60,5314,0.659,2.68
degree_preserving,_overall,65,0.969,0.995,873,3.86,1232,0.523,0.539
learned_router_no_prior,_overall,65,0.046,0.462,85.43,0.677,336,0.034,0.740
flybrain_prior_untrained,_overall,65,0.000,0.728,0.000,0.000,0.000,0.000,∞
flybrain_sim_pretrain,_overall,65,0.308,0.894,2208,12.00,5621,1.23,4.01
flybrain_imitation,_overall,65,0.385,0.905,1561,8.06,2430,0.938,2.44
flybrain_rl,_overall,65,0.169,0.864,2120,12.00,1958,2.24,13.22
